name,slug,photoUrl,photoPath,position,positionType,isPastMember,yearCompleted,xHandle,instagramHandle,githubHandle,linkedinUrl,orcidUrl,gscholarUrl,researchgateUrl,utasProfileUrl,peronsalUrl,researchProjectIn5Words
Olly Dove,olly-dove,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/62bfd071e78b6d916da21fdd_60bad0eb37e076af08d3d52a_odove.jpeg,odove.webp,PhD Candidate,Student,FALSE,,littledove440,ols_dove,,https://www.linkedin.com/in/ollydove,https://orcid.org/0000-0002-4469-3596,,,,,Seabirds feeding in Storm Bay
Sophia Volzke,sophia-volzke,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/62c7831da7f16b640d2a6c1f_Kunanji%20Photography%20LR.jpg,svolzke.webp,PhD Candidate,Student,FALSE,,SophiaVolzke,sophtopus,,https://www.linkedin.com/in/sophia-volzke-a06b0368/,,https://scholar.google.com.au/citations?hl=en&user=2GqSFtUAAAAJ,https://www.researchgate.net/profile/Sophia-Volzke,https://rmdb.research.utas.edu.au/public/rmdb/q/indiv_detail_warp_trans/57848,https://sophia-volzke.myportfolio.com/,Modelling Southern Elephant Seal Demography
Dr Toby Travers,toby-travers,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/62bfd072f97098166ceb568b_60bad1e356e2982e265236ef_ttravers.jpeg,ttravers.webp,PhD Candidate,Student,TRUE,2021,TobyTravers_,,,https://www.linkedin.com/in/td-travers,,,,https://rmdb.research.utas.edu.au/public/rmdb/q/indiv_detail_warp_trans/41431,,"Eradicate rabbits, some skuas die"
Yash Gimonkar,yash-gimonkar,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/62bfd0728758bbb16280e3c4_60bacfd5143f63bb08e39753_ygimonkar.jpeg,ygimonkar.webp,Masters Student,Student,TRUE,2020,,,,https://www.linkedin.com/in/yash-gimonkar/,,,https://www.researchgate.net/profile/Yash-Gimonkar,,,Killer whales are costly competitors
Dr Ben Arthur,ben-arthur,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/62bfd06e622dd0be6076e5d3_60bad055cd17fffca87ec52e_barthur.jpeg,barthur.webp,Adjunct Researcher,Staff,TRUE,2016,bluewaterben,,,https://www.linkedin.com/in/benjamin-arthur-450a5649/,,https://scholar.google.com.au/citations?user=QS_-u7MAAAAJ&hl=en,,,,marine science outreach and education
Dr Peter Puskic,peter-puskic,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/62bfd0727f5d65746527797a_60bad0ca09160a6462b0d57f_ppuskic.jpeg,ppuskic.webp,PhD Candidate,Student,TRUE,2023,peterpuskic,peterpuskic,,http://linkedin.com/in/peterpuskic,https://orcid.org/0000-0003-1352-8843,,,,,Impacts of plastics on seabirds
Dr Amy Coghlan,amy-coghlan,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/62bfd06eb115e06f098de928_622061ebb19093d6e7feb88a_amy_coghlan.png,acoghlan.webp,PhD Candidate,Student,TRUE,2022,,,amroco,,,https://scholar.google.fr/citations?user=Y_1F4-UAAAAJ&hl=en&oi=ao,https://www.researchgate.net/profile/Amy-Coghlan,,,
Ashleigh Fay,ashleigh-fay,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/630e93894b842f22937e4ed9_IMG_2320.JPG,afay.webp,Masters Student,Student,TRUE,2022,ashleighhfay,,,,,https://scholar.google.com/citations?hl=en&user=qzRQGbMAAAAJ&view_op=list_works&gmla=AJsN-F4nhssB-uXponKO5jflu0zdtWtCcRZ65rIZ03-kqel3bPMSILX4-psF6RucgoVQ4QA-zTlT1OOnol7TJG3k75fQdlxhqmITSVSkNAIS8KpQSIIu0iU,,,,Australian fur seal behaviour and foraging ecology
Dr Javed Riaz,javed-riaz,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/62bfd0705ea0ee1ea7b5f312_60bad154e8d8f054fc049a92_jriaz.jpeg,jriaz.webp,PhD Candidate,Student,TRUE,2022,,,,,,,https://www.researchgate.net/profile/Javed_Riaz,,,Adelie penguins as ecosystem indicators
Jo Serret,jo-serret,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/6450aa6240de0bb094e0ab8f_IMG-31472.JPG,jserret.webp,Honours Student,Student,TRUE,,,,,,,,,,,Black-browed albatross parasites
Dr Paige Green,paige-green,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/62bfd071acd22a1eea3dd04c_60bad0dd2551d76655865b50_pgreen.jpeg,pgreen.webp,PhD Candidate,Student,TRUE,,seagreenpaige,,,,https://orcid.org/0000-0002-3582-8321,,,,,Crested penguins during winter migrations
Penny Beaver,penny-beaver,https://uploads-ssl.webflow.com/5fd1a0c7dbb4ed0df94ae3f6/62bfd07249a83b92ccef1721_60bad07a26b7c802734a0cd2_pbeaver.jpeg,pbeaver.webp,Masters Student,Student,TRUE,2021,pennybeaver,,,https://www.linkedin.com/in/penny-beaver-6733b41ba/,https://orcid.org/0000-0002-2038-4369,,https://www.researchgate.net/profile/Penny_Beaver2,,,"Habitat selection, niche space"
